"Fecha";"Ano";"Mes";"Dia";"Estacion";"81";"82";"83";"86";"87";"88";"89"
2021-03-30;2021;3;30;8;NA;NA;"16,3";"38";NA;NA;NA
2021-03-31;2021;3;31;8;NA;NA;"17";"33";NA;NA;NA
2021-04-01;2021;4;1;8;NA;NA;"17,4";"36";NA;NA;NA
2021-04-02;2021;4;2;8;NA;NA;"13,7";"79";NA;NA;NA
2021-04-03;2021;4;3;8;NA;NA;"14,1";"71";NA;NA;NA
2021-04-04;2021;4;4;8;NA;NA;"14,5";"44";NA;NA;NA
2021-04-05;2021;4;5;8;NA;NA;"15,8";"43";NA;NA;NA
2021-04-06;2021;4;6;8;NA;NA;"16,8";"37";NA;NA;NA
2021-04-07;2021;4;7;8;NA;NA;"13";"41";NA;NA;NA
2021-04-08;2021;4;8;8;NA;NA;"13";"65";NA;NA;NA
2021-04-09;2021;4;9;8;NA;NA;"11";"75";NA;NA;NA
2021-04-10;2021;4;10;8;NA;NA;"13,1";"72";NA;NA;NA
2021-04-11;2021;4;11;8;NA;NA;"12,2";"83";NA;NA;NA
2021-04-12;2021;4;12;8;NA;NA;"10,3";"52";NA;NA;NA
2021-04-13;2021;4;13;8;NA;NA;"12,2";"57";NA;NA;NA
2021-04-14;2021;4;14;8;NA;NA;"15";"66";NA;NA;NA
2021-04-15;2021;4;15;8;NA;NA;"13,4";"66";NA;NA;NA
2021-04-16;2021;4;16;8;NA;NA;"12,6";"54";NA;NA;NA
2021-04-17;2021;4;17;8;NA;NA;"10,2";"39";NA;NA;NA
2021-04-18;2021;4;18;8;NA;NA;"11,7";"43";NA;NA;NA
2021-04-19;2021;4;19;8;NA;NA;"14,6";"47";NA;NA;NA
2021-04-20;2021;4;20;8;NA;NA;"14,9";"61";NA;NA;NA
2021-04-21;2021;4;21;8;NA;NA;"14";"63";NA;NA;NA
2021-04-22;2021;4;22;8;NA;NA;"12,8";"79";NA;NA;NA
2021-04-23;2021;4;23;8;NA;NA;"13,8";"69";NA;NA;NA
2021-04-24;2021;4;24;8;NA;NA;"13";"70";NA;NA;NA
2021-04-25;2021;4;25;8;NA;NA;"11,2";"87";NA;NA;NA
2021-04-26;2021;4;26;8;NA;NA;"14,4";"77";NA;NA;NA
2021-04-27;2021;4;27;8;NA;NA;"13,8";"80";NA;NA;NA
2021-04-28;2021;4;28;8;NA;NA;"14,1";"77";NA;NA;NA
2021-04-29;2021;4;29;8;NA;NA;"13,8";"70";NA;NA;NA
2021-04-30;2021;4;30;8;NA;NA;"12,4";"61";NA;NA;NA
2021-05-01;2021;5;1;8;NA;NA;"12,5";"57";NA;NA;NA
2021-05-02;2021;5;2;8;NA;NA;"13,4";"52";NA;NA;NA
2021-05-03;2021;5;3;8;NA;NA;"13,7";"61";NA;NA;NA
2021-05-04;2021;5;4;8;NA;NA;"16";"58";NA;NA;NA
2021-05-05;2021;5;5;8;NA;NA;"19";"42";NA;NA;NA
2021-05-06;2021;5;6;8;NA;NA;"20,3";"44";NA;NA;NA
2021-05-07;2021;5;7;8;NA;NA;"21,3";"42";NA;NA;NA
2021-05-08;2021;5;8;8;NA;NA;"21,6";"43";NA;NA;NA
2021-05-09;2021;5;9;8;NA;NA;"16,1";"63";NA;NA;NA
2021-05-10;2021;5;10;8;NA;NA;"12,2";"64";NA;NA;NA
2021-05-11;2021;5;11;8;NA;NA;"12,5";"52";NA;NA;NA
2021-05-12;2021;5;12;8;NA;NA;"14,7";"56";NA;NA;NA
2021-05-13;2021;5;13;8;NA;NA;"15,2";"54";NA;NA;NA
2021-05-14;2021;5;14;8;NA;NA;"17,3";"46";NA;NA;NA
2021-05-15;2021;5;15;8;NA;NA;"19,6";"54";NA;NA;NA
2021-05-16;2021;5;16;8;NA;NA;"20,9";"58";NA;NA;NA
2021-05-17;2021;5;17;8;NA;NA;"19,9";"42";NA;NA;NA
2021-05-18;2021;5;18;8;NA;NA;"21";"41";NA;NA;NA
2021-05-19;2021;5;19;8;NA;NA;"19,6";"41";NA;NA;NA
2021-05-20;2021;5;20;8;NA;NA;"21";"40";NA;NA;NA
2021-05-21;2021;5;21;8;NA;NA;"22,7";"42";NA;NA;NA
2021-05-22;2021;5;22;8;NA;NA;"18";"37";NA;NA;NA
2021-05-23;2021;5;23;8;NA;NA;"14,8";"52";NA;NA;NA
2021-05-24;2021;5;24;8;NA;NA;"16,6";"51";NA;NA;NA
2021-05-25;2021;5;25;8;NA;NA;"19,3";"46";NA;NA;NA
2021-05-26;2021;5;26;8;NA;NA;"20,8";"53";NA;NA;NA
2021-05-27;2021;5;27;8;NA;NA;"21,8";"49";NA;NA;NA
2021-05-28;2021;5;28;8;NA;NA;"21,6";"57";NA;NA;NA
2021-05-29;2021;5;29;8;NA;NA;"24";"47";NA;NA;NA
2021-05-30;2021;5;30;8;NA;NA;"25,1";"45";NA;NA;NA
2021-05-31;2021;5;31;8;NA;NA;"24,4";"48";NA;NA;NA
2021-06-01;2021;6;1;8;NA;NA;"20,3";"66";NA;NA;NA
2021-06-02;2021;6;2;8;NA;NA;"20,4";"55";NA;NA;NA
2021-06-03;2021;6;3;8;NA;NA;"23,2";"49";NA;NA;NA
2021-06-04;2021;6;4;8;NA;NA;"23,3";"41";NA;NA;NA
2021-06-05;2021;6;5;8;NA;NA;"18,2";"73";NA;NA;NA
2021-06-06;2021;6;6;8;NA;NA;"20,7";"66";NA;NA;NA
2021-06-07;2021;6;7;8;NA;NA;"24,8";"42";NA;NA;NA
2021-06-08;2021;6;8;8;NA;NA;"26,8";"34";NA;NA;NA
2021-06-09;2021;6;9;8;NA;NA;"27,7";"28";NA;NA;NA
2021-06-10;2021;6;10;8;NA;NA;"27,8";"35";NA;NA;NA
2021-06-11;2021;6;11;8;NA;NA;"25,9";"44";NA;NA;NA
2021-06-12;2021;6;12;8;NA;NA;"24,2";"48";NA;NA;NA
2021-06-13;2021;6;13;8;NA;NA;"26";"39";NA;NA;NA
2021-06-14;2021;6;14;8;NA;NA;"27,6";"36";NA;NA;NA
2021-06-15;2021;6;15;8;NA;NA;"27,2";"37";NA;NA;NA
2021-06-16;2021;6;16;8;NA;NA;"25,3";"48";NA;NA;NA
2021-06-17;2021;6;17;8;NA;NA;"18,3";"78";NA;NA;NA
2021-06-18;2021;6;18;8;NA;NA;"19,9";"67";NA;NA;NA
2021-06-19;2021;6;19;8;NA;NA;"19,8";"54";NA;NA;NA
2021-06-20;2021;6;20;8;NA;NA;"17,5";"66";NA;NA;NA
2021-06-21;2021;6;21;8;NA;NA;"17,9";"60";NA;NA;NA
2021-06-22;2021;6;22;8;NA;NA;"18,1";"59";NA;NA;NA
2021-06-23;2021;6;23;8;NA;NA;"19,3";"53";NA;NA;NA
2021-06-24;2021;6;24;8;NA;NA;"21,3";"45";NA;NA;NA
2021-06-25;2021;6;25;8;NA;NA;"25";"41";NA;NA;NA
2021-06-26;2021;6;26;8;NA;NA;"26,5";"39";NA;NA;NA
2021-06-27;2021;6;27;8;NA;NA;"24,5";"32";NA;NA;NA
2021-06-28;2021;6;28;8;NA;NA;"22,2";"34";NA;NA;NA
2021-06-29;2021;6;29;8;NA;NA;"23,7";"36";NA;NA;NA
2021-06-30;2021;6;30;8;NA;NA;"25,8";"35";NA;NA;NA
2021-07-01;2021;7;1;8;NA;NA;"26,9";"30";NA;NA;NA
2021-07-02;2021;7;2;8;NA;NA;"27,5";"25";NA;NA;NA
2021-07-03;2021;7;3;8;NA;NA;"26,8";"35";NA;NA;NA
2021-07-04;2021;7;4;8;NA;NA;"26,4";"39";NA;NA;NA
2021-07-05;2021;7;5;8;NA;NA;"27,2";"41";NA;NA;NA
2021-07-06;2021;7;6;8;NA;NA;"20,6";"59";NA;NA;NA
2021-07-07;2021;7;7;8;NA;NA;"20,8";"46";NA;NA;NA
2021-07-08;2021;7;8;8;NA;NA;"22,5";"39";NA;NA;NA
2021-07-09;2021;7;9;8;NA;NA;"26,3";"38";NA;NA;NA
2021-07-10;2021;7;10;8;NA;NA;"29,4";"35";NA;NA;NA
2021-07-11;2021;7;11;8;NA;NA;"31,4";"26";NA;NA;NA
2021-07-12;2021;7;12;8;NA;NA;"24,5";"33";NA;NA;NA
2021-07-13;2021;7;13;8;NA;NA;"21,5";"36";NA;NA;NA
2021-07-14;2021;7;14;8;NA;NA;"22,4";"38";NA;NA;NA
2021-07-15;2021;7;15;8;NA;NA;"24,5";"37";NA;NA;NA
2021-07-16;2021;7;16;8;NA;NA;"28,3";"33";NA;NA;NA
2021-07-17;2021;7;17;8;NA;NA;"30,7";"25";NA;NA;NA
2021-07-18;2021;7;18;8;NA;NA;"30,5";"26";NA;NA;NA
2021-07-19;2021;7;19;8;NA;NA;"29,3";"30";NA;NA;NA
2021-07-20;2021;7;20;8;NA;NA;"29,9";"26";NA;NA;NA
2021-07-21;2021;7;21;8;NA;NA;"30,2";"28";NA;NA;NA
2021-07-22;2021;7;22;8;NA;NA;"30,8";"27";NA;NA;NA
2021-07-23;2021;7;23;8;NA;NA;"28,2";"26";NA;NA;NA
2021-07-24;2021;7;24;8;NA;NA;"26";"30";NA;NA;NA
2021-07-25;2021;7;25;8;NA;NA;"25,4";"32";NA;NA;NA
2021-07-26;2021;7;26;8;NA;NA;"23,6";"54";NA;NA;NA
2021-07-27;2021;7;27;8;NA;NA;"27,1";"44";NA;NA;NA
2021-07-28;2021;7;28;8;NA;NA;"28,9";"34";NA;NA;NA
2021-07-29;2021;7;29;8;NA;NA;"29,4";"41";NA;NA;NA
2021-07-30;2021;7;30;8;NA;NA;"28,6";"32";NA;NA;NA
2021-07-31;2021;7;31;8;NA;NA;"23,5";"42";NA;NA;NA
2021-08-01;2021;8;1;8;NA;NA;"21,1";"46";NA;NA;NA
2021-08-02;2021;8;2;8;NA;NA;"23,8";"36";NA;NA;NA
2021-08-03;2021;8;3;8;NA;NA;"25,8";"42";NA;NA;NA
2021-08-04;2021;8;4;8;NA;NA;"26,9";"36";NA;NA;NA
2021-08-05;2021;8;5;8;NA;NA;"28,1";"31";NA;NA;NA
2021-08-06;2021;8;6;8;NA;NA;"27,4";"30";NA;NA;NA
2021-08-07;2021;8;7;8;NA;NA;"24,9";"32";NA;NA;NA
2021-08-08;2021;8;8;8;NA;NA;"24,5";"32";NA;NA;NA
2021-08-09;2021;8;9;8;NA;NA;"27,4";"50";NA;NA;NA
2021-08-10;2021;8;10;8;NA;NA;"29,3";"46";NA;NA;NA
2021-08-11;2021;8;11;8;NA;NA;"31,3";"36";NA;NA;NA
2021-08-12;2021;8;12;8;NA;NA;"31,1";"32";NA;NA;NA
2021-08-13;2021;8;13;8;NA;NA;"32,2";"24";NA;NA;NA
2021-08-14;2021;8;14;8;NA;NA;NA;NA;NA;NA;NA
2021-08-15;2021;8;15;8;NA;NA;NA;NA;NA;NA;NA
2021-08-16;2021;8;16;8;NA;NA;NA;NA;NA;NA;NA
2021-08-17;2021;8;17;8;NA;NA;"25,7";"31";NA;NA;NA
2021-08-18;2021;8;18;8;NA;NA;"27";"34";NA;NA;NA
2021-08-19;2021;8;19;8;NA;NA;"27,7";NA;NA;NA;NA
2021-08-20;2021;8;20;8;NA;NA;"27,8";NA;NA;NA;NA
2021-08-21;2021;8;21;8;NA;NA;"27,6";"26";NA;NA;NA
2021-08-22;2021;8;22;8;NA;NA;"29";"26";NA;NA;NA
2021-08-23;2021;8;23;8;NA;NA;"29,9";"32";NA;NA;NA
2021-08-24;2021;8;24;8;NA;NA;"27";"41";NA;NA;NA
2021-08-25;2021;8;25;8;NA;NA;"25,5";"50";NA;NA;NA
2021-08-26;2021;8;26;8;NA;NA;"26,4";"46";NA;NA;NA
2021-08-27;2021;8;27;8;NA;NA;"28,5";"35";NA;NA;NA
2021-08-28;2021;8;28;8;NA;NA;"27,4";"34";NA;NA;NA
2021-08-29;2021;8;29;8;NA;NA;"26,1";"36";NA;NA;NA
2021-08-30;2021;8;30;8;NA;NA;"25,8";"42";NA;NA;NA
2021-08-31;2021;8;31;8;NA;NA;"26";"46";NA;NA;NA
2021-09-01;2021;9;1;8;NA;NA;"20,1";"75";NA;NA;NA
2021-09-02;2021;9;2;8;NA;NA;"20,2";"71";NA;NA;NA
2021-09-03;2021;9;3;8;NA;NA;"23,3";"56";NA;NA;NA
2021-09-04;2021;9;4;8;NA;NA;"24,7";"44";NA;NA;NA
2021-09-05;2021;9;5;8;NA;NA;"26,1";"44";NA;NA;NA
2021-09-06;2021;9;6;8;NA;NA;"26,7";"42";NA;NA;NA
2021-09-07;2021;9;7;8;NA;NA;"27,1";"40";NA;NA;NA
2021-09-08;2021;9;8;8;NA;NA;"23,8";"51";NA;NA;NA
2021-09-09;2021;9;9;8;NA;NA;"23";"53";NA;NA;NA
2021-09-10;2021;9;10;8;NA;NA;"23,5";"49";NA;NA;NA
2021-09-11;2021;9;11;8;NA;NA;"22";"50";NA;NA;NA
2021-09-12;2021;9;12;8;NA;NA;"24,5";"42";NA;NA;NA
2021-09-13;2021;9;13;8;NA;NA;"22,7";"51";NA;NA;NA
2021-09-14;2021;9;14;8;NA;NA;"18,2";"82";NA;NA;NA
2021-09-15;2021;9;15;8;NA;NA;"19,3";"75";NA;NA;NA
2021-09-16;2021;9;16;8;NA;NA;"21,1";"64";NA;NA;NA
2021-09-17;2021;9;17;8;NA;NA;"22,2";"57";NA;NA;NA
2021-09-18;2021;9;18;8;NA;NA;"21,3";"51";NA;NA;NA
2021-09-19;2021;9;19;8;NA;NA;"19,4";"45";NA;NA;NA
2021-09-20;2021;9;20;8;NA;NA;"19,1";"47";NA;NA;NA
2021-09-21;2021;9;21;8;NA;NA;"16,5";"49";NA;NA;NA
2021-09-22;2021;9;22;8;NA;NA;"16,8";"61";NA;NA;NA
2021-09-23;2021;9;23;8;NA;NA;"19,2";"66";NA;NA;NA
2021-09-24;2021;9;24;8;NA;NA;"19";"81";NA;NA;NA
2021-09-25;2021;9;25;8;NA;NA;"18,6";"74";NA;NA;NA
2021-09-26;2021;9;26;8;NA;NA;"19";"65";NA;NA;NA
2021-09-27;2021;9;27;8;NA;NA;"20";"58";NA;NA;NA
2021-09-28;2021;9;28;8;NA;NA;"20,6";"52";NA;NA;NA
2021-09-29;2021;9;29;8;NA;NA;"19,9";"51";NA;NA;NA
2021-09-30;2021;9;30;8;NA;NA;"19,6";"53";NA;NA;NA
2021-10-01;2021;10;1;8;NA;NA;"20,1";"50";NA;NA;NA
2021-10-02;2021;10;2;8;NA;NA;"20,1";"50";NA;NA;NA
2021-10-03;2021;10;3;8;NA;NA;"16,3";"70";NA;NA;NA
2021-10-04;2021;10;4;8;NA;NA;"14,5";"54";NA;NA;NA
2021-10-05;2021;10;5;8;NA;NA;"17";"61";NA;NA;NA
2021-10-06;2021;10;6;8;NA;NA;"19,1";"59";NA;NA;NA
2021-10-07;2021;10;7;8;NA;NA;"19,2";"41";NA;NA;NA
2021-10-08;2021;10;8;8;NA;NA;"20,1";"43";NA;NA;NA
2021-10-09;2021;10;9;8;NA;NA;"18,9";"42";NA;NA;NA
2021-10-10;2021;10;10;8;NA;NA;"18";"54";NA;NA;NA
2021-10-11;2021;10;11;8;NA;NA;"18";"58";NA;NA;NA
2021-10-12;2021;10;12;8;NA;NA;"18,6";"55";NA;NA;NA
2021-10-13;2021;10;13;8;NA;NA;"18,5";"30";NA;NA;NA
2021-10-14;2021;10;14;8;NA;NA;"17,7";"43";NA;NA;NA
2021-10-15;2021;10;15;8;NA;NA;"18,4";"51";NA;NA;NA
2021-10-16;2021;10;16;8;NA;NA;"16,8";"51";NA;NA;NA
2021-10-17;2021;10;17;8;NA;NA;"18,4";"65";NA;NA;NA
2021-10-18;2021;10;18;8;NA;NA;"18,7";"67";NA;NA;NA
2021-10-19;2021;10;19;8;NA;NA;"19,6";"61";NA;NA;NA
2021-10-20;2021;10;20;8;NA;NA;"19";"59";NA;NA;NA
2021-10-21;2021;10;21;8;NA;NA;"17,7";"58";NA;NA;NA
2021-10-22;2021;10;22;8;NA;NA;"15,2";"52";NA;NA;NA
2021-10-23;2021;10;23;8;NA;NA;"14";"53";NA;NA;NA
2021-10-24;2021;10;24;8;NA;NA;"14,4";"46";NA;NA;NA
2021-10-25;2021;10;25;8;NA;NA;NA;NA;NA;NA;NA
2021-10-26;2021;10;26;8;NA;NA;NA;NA;NA;NA;NA
2021-10-27;2021;10;27;8;NA;NA;"15,1";"56";NA;NA;NA
2021-10-28;2021;10;28;8;NA;NA;"15";"53";NA;NA;NA
2021-10-29;2021;10;29;8;NA;NA;"13,5";"75";NA;NA;NA
2021-10-30;2021;10;30;8;NA;NA;"15,6";"91";NA;NA;NA
2021-10-31;2021;10;31;8;NA;NA;"15,9";"96";NA;NA;NA
2021-11-01;2021;11;1;8;NA;NA;"14,9";"71";NA;NA;NA
2021-11-02;2021;11;2;8;NA;NA;"11";"74";NA;NA;NA
2021-11-03;2021;11;3;8;NA;NA;"9,8";"64";NA;NA;NA
2021-11-04;2021;11;4;8;NA;NA;"8,5";"65";NA;NA;NA
2021-11-05;2021;11;5;8;NA;NA;"8,7";"58";NA;NA;NA
2021-11-06;2021;11;6;8;NA;NA;"8,6";"51";NA;NA;NA
2021-11-07;2021;11;7;8;NA;NA;"8,7";"54";NA;NA;NA
2021-11-08;2021;11;8;8;NA;NA;"11,7";"53";NA;NA;NA
2021-11-09;2021;11;9;8;NA;NA;"11,6";"47";NA;NA;NA
2021-11-10;2021;11;10;8;NA;NA;"10,9";"52";NA;NA;NA
2021-11-11;2021;11;11;8;NA;NA;"10,6";"59";NA;NA;NA
2021-11-12;2021;11;12;8;NA;NA;"12,7";"59";NA;NA;NA
2021-11-13;2021;11;13;8;NA;NA;"12,2";"61";NA;NA;NA
2021-11-14;2021;11;14;8;NA;NA;"11,9";"61";NA;NA;NA
2021-11-15;2021;11;15;8;NA;NA;"11,8";"54";NA;NA;NA
2021-11-16;2021;11;16;8;NA;NA;"9,3";"63";NA;NA;NA
2021-11-17;2021;11;17;8;NA;NA;"9,8";"59";NA;NA;NA
2021-11-18;2021;11;18;8;NA;NA;"8,9";"61";NA;NA;NA
2021-11-19;2021;11;19;8;NA;NA;"11,1";"66";NA;NA;NA
2021-11-20;2021;11;20;8;NA;NA;"11,1";"73";NA;NA;NA
2021-11-21;2021;11;21;8;NA;NA;"11,6";"79";NA;NA;NA
2021-11-22;2021;11;22;8;NA;NA;"7,1";"94";NA;NA;NA
2021-11-23;2021;11;23;8;NA;NA;"5,2";"81";NA;NA;NA
2021-11-24;2021;11;24;8;NA;NA;"5,3";"80";NA;NA;NA
2021-11-25;2021;11;25;8;NA;NA;"7";"71";NA;NA;NA
2021-11-26;2021;11;26;8;NA;NA;"6,7";"66";NA;NA;NA
2021-11-27;2021;11;27;8;NA;NA;"6";"60";NA;NA;NA
2021-11-28;2021;11;28;8;NA;NA;"5,7";"58";NA;NA;NA
2021-11-29;2021;11;29;8;NA;NA;"10,4";"62";NA;NA;NA
2021-11-30;2021;11;30;8;NA;NA;"8,4";"69";NA;NA;NA
2021-12-01;2021;12;1;8;NA;NA;"6,3";"82";NA;NA;NA
2021-12-02;2021;12;2;8;NA;NA;"7,3";"59";NA;NA;NA
2021-12-03;2021;12;3;8;NA;NA;"8,3";"60";NA;NA;NA
2021-12-04;2021;12;4;8;NA;NA;"8,1";"77";NA;NA;NA
2021-12-05;2021;12;5;8;NA;NA;"8,7";"58";NA;NA;NA
2021-12-06;2021;12;6;8;NA;NA;"9,9";"63";NA;NA;NA
2021-12-07;2021;12;7;8;NA;NA;"7,9";"91";NA;NA;NA
2021-12-08;2021;12;8;8;NA;NA;"7,6";"66";NA;NA;NA
2021-12-09;2021;12;9;8;NA;NA;"8,5";"68";NA;NA;NA
2021-12-10;2021;12;10;8;NA;NA;"10,7";"69";NA;NA;NA
2021-12-11;2021;12;11;8;NA;NA;"12,5";"62";NA;NA;NA
2021-12-12;2021;12;12;8;NA;NA;"10,4";"75";NA;NA;NA
2021-12-13;2021;12;13;8;NA;NA;"9,4";"72";NA;NA;NA
2021-12-14;2021;12;14;8;NA;NA;"11";"57";NA;NA;NA
2021-12-15;2021;12;15;8;NA;NA;"11,3";"43";NA;NA;NA
2021-12-16;2021;12;16;8;NA;NA;"8,9";"55";NA;NA;NA
2021-12-17;2021;12;17;8;NA;NA;"8";"61";NA;NA;NA
2021-12-18;2021;12;18;8;NA;NA;"7,8";"68";NA;NA;NA
2021-12-19;2021;12;19;8;NA;NA;"9,5";"71";NA;NA;NA
2021-12-20;2021;12;20;8;NA;NA;"7,9";"79";NA;NA;NA
2021-12-21;2021;12;21;8;NA;NA;"10,4";"79";NA;NA;NA
2021-12-22;2021;12;22;8;NA;NA;"11,4";"82";NA;NA;NA
2021-12-23;2021;12;23;8;NA;NA;"10";"88";NA;NA;NA
2021-12-24;2021;12;24;8;NA;NA;"10,5";"97";NA;NA;NA
2021-12-25;2021;12;25;8;NA;NA;"9,2";"97";NA;NA;NA
2021-12-26;2021;12;26;8;NA;NA;"9,6";"98";NA;NA;NA
2021-12-27;2021;12;27;8;NA;NA;"12,4";"85";NA;NA;NA
2021-12-28;2021;12;28;8;NA;NA;"11,5";"84";NA;NA;NA
2021-12-29;2021;12;29;8;NA;NA;"10,2";"85";NA;NA;NA
2021-12-30;2021;12;30;8;NA;NA;"11";"77";NA;NA;NA
2021-12-31;2021;12;31;8;NA;NA;"11,6";"67";NA;NA;NA
2021-01-01;2021;1;1;16;NA;NA;NA;"71";NA;NA;NA
2021-01-02;2021;1;2;16;NA;NA;NA;"56";NA;NA;NA
2021-01-03;2021;1;3;16;NA;NA;NA;"60";NA;NA;NA
2021-01-04;2021;1;4;16;NA;NA;NA;"59";NA;NA;NA
2021-01-05;2021;1;5;16;NA;NA;NA;"65";NA;NA;NA
2021-01-06;2021;1;6;16;NA;NA;NA;"62";NA;NA;NA
2021-01-07;2021;1;7;16;NA;NA;NA;"77";NA;NA;NA
2021-01-08;2021;1;8;16;NA;NA;NA;"85";NA;NA;NA
2021-01-09;2021;1;9;16;NA;NA;NA;"97";NA;NA;NA
2021-01-10;2021;1;10;16;NA;NA;NA;"83";NA;NA;NA
2021-01-11;2021;1;11;16;NA;NA;NA;"71";NA;NA;NA
2021-01-12;2021;1;12;16;NA;NA;NA;"73";NA;NA;NA
2021-01-13;2021;1;13;16;NA;NA;NA;"71";NA;NA;NA
2021-01-14;2021;1;14;16;NA;NA;NA;"70";NA;NA;NA
2021-01-15;2021;1;15;16;NA;NA;NA;"77";NA;NA;NA
2021-01-16;2021;1;16;16;NA;NA;NA;"74";NA;NA;NA
2021-01-17;2021;1;17;16;NA;NA;NA;"66";NA;NA;NA
2021-01-18;2021;1;18;16;NA;NA;NA;"72";NA;NA;NA
2021-01-19;2021;1;19;16;NA;NA;NA;"77";NA;NA;NA
2021-01-20;2021;1;20;16;NA;NA;NA;"92";NA;NA;NA
2021-01-21;2021;1;21;16;NA;NA;NA;"97";NA;NA;NA
2021-01-22;2021;1;22;16;NA;NA;NA;"80";NA;NA;NA
2021-01-23;2021;1;23;16;NA;NA;NA;"92";NA;NA;NA
2021-01-24;2021;1;24;16;NA;NA;NA;"66";NA;NA;NA
2021-01-25;2021;1;25;16;NA;NA;NA;"91";NA;NA;NA
2021-01-26;2021;1;26;16;NA;NA;NA;"89";NA;NA;NA
2021-01-27;2021;1;27;16;NA;NA;NA;"84";NA;NA;NA
2021-01-28;2021;1;28;16;NA;NA;NA;"92";NA;NA;NA
2021-01-29;2021;1;29;16;NA;NA;NA;"89";NA;NA;NA
2021-01-30;2021;1;30;16;NA;NA;NA;"75";NA;NA;NA
2021-01-31;2021;1;31;16;NA;NA;NA;"75";NA;NA;NA
2021-02-01;2021;2;1;16;NA;NA;NA;"70";NA;NA;NA
2021-02-02;2021;2;2;16;NA;NA;NA;"89";NA;NA;NA
2021-02-03;2021;2;3;16;NA;NA;NA;"87";NA;NA;NA
2021-02-04;2021;2;4;16;NA;NA;NA;"82";NA;NA;NA
2021-02-05;2021;2;5;16;NA;NA;NA;"74";NA;NA;NA
2021-02-06;2021;2;6;16;NA;NA;NA;"89";NA;NA;NA
2021-02-07;2021;2;7;16;NA;NA;NA;"74";NA;NA;NA
2021-02-08;2021;2;8;16;NA;NA;NA;"87";NA;NA;NA
2021-02-09;2021;2;9;16;NA;NA;NA;"94";NA;NA;NA
2021-02-10;2021;2;10;16;NA;NA;NA;"71";NA;NA;NA
2021-02-11;2021;2;11;16;NA;NA;NA;"88";NA;NA;NA
2021-02-12;2021;2;12;16;NA;NA;NA;"76";NA;NA;NA
2021-02-13;2021;2;13;16;NA;NA;NA;"62";NA;NA;NA
2021-02-14;2021;2;14;16;NA;NA;NA;"68";NA;NA;NA
2021-02-15;2021;2;15;16;NA;NA;NA;"73";NA;NA;NA
2021-02-16;2021;2;16;16;NA;NA;NA;"72";NA;NA;NA
2021-02-17;2021;2;17;16;NA;NA;NA;"69";NA;NA;NA
2021-02-18;2021;2;18;16;NA;NA;NA;"63";NA;NA;NA
2021-02-19;2021;2;19;16;NA;NA;NA;"57";NA;NA;NA
2021-02-20;2021;2;20;16;NA;NA;NA;"47";NA;NA;NA
2021-02-21;2021;2;21;16;NA;NA;NA;"74";NA;NA;NA
2021-02-22;2021;2;22;16;NA;NA;NA;"67";NA;NA;NA
2021-02-23;2021;2;23;16;NA;NA;NA;"70";NA;NA;NA
2021-02-24;2021;2;24;16;NA;NA;NA;"74";NA;NA;NA
2021-02-25;2021;2;25;16;NA;NA;NA;"72";NA;NA;NA
2021-02-26;2021;2;26;16;NA;NA;NA;"63";NA;NA;NA
2021-02-27;2021;2;27;16;NA;NA;NA;"54";NA;NA;NA
2021-02-28;2021;2;28;16;NA;NA;NA;"62";NA;NA;NA
2021-03-01;2021;3;1;16;NA;NA;NA;"74";NA;NA;NA
2021-03-02;2021;3;2;16;NA;NA;NA;"68";NA;NA;NA
2021-03-03;2021;3;3;16;NA;NA;NA;"71";NA;NA;NA
2021-03-04;2021;3;4;16;NA;NA;NA;"80";NA;NA;NA
2021-03-05;2021;3;5;16;NA;NA;NA;"70";NA;NA;NA
2021-03-06;2021;3;6;16;NA;NA;NA;"61";NA;NA;NA
2021-03-07;2021;3;7;16;NA;NA;NA;"67";NA;NA;NA
2021-03-08;2021;3;8;16;NA;NA;NA;"79";NA;NA;NA
2021-03-09;2021;3;9;16;NA;NA;NA;"61";NA;NA;NA
2021-03-10;2021;3;10;16;NA;NA;NA;"54";NA;NA;NA
2021-03-11;2021;3;11;16;NA;NA;NA;"62";NA;NA;NA
2021-03-12;2021;3;12;16;NA;NA;NA;"61";NA;NA;NA
2021-03-13;2021;3;13;16;NA;NA;NA;"49";NA;NA;NA
2021-03-14;2021;3;14;16;NA;NA;NA;"52";NA;NA;NA
2021-03-15;2021;3;15;16;NA;NA;NA;"49";NA;NA;NA
2021-03-16;2021;3;16;16;NA;NA;NA;"48";NA;NA;NA
2021-03-17;2021;3;17;16;NA;NA;NA;"46";NA;NA;NA
2021-03-18;2021;3;18;16;NA;NA;NA;"44";NA;NA;NA
2021-03-19;2021;3;19;16;NA;NA;NA;"55";NA;NA;NA
2021-03-20;2021;3;20;16;NA;NA;NA;"40";NA;NA;NA
2021-03-21;2021;3;21;16;NA;NA;NA;"40";NA;NA;NA
2021-03-22;2021;3;22;16;NA;NA;NA;"45";NA;NA;NA
2021-03-23;2021;3;23;16;NA;NA;NA;"41";NA;NA;NA
2021-03-24;2021;3;24;16;NA;NA;NA;"37";NA;NA;NA
2021-03-25;2021;3;25;16;NA;NA;NA;"42";NA;NA;NA
2021-03-26;2021;3;26;16;NA;NA;NA;"46";NA;NA;NA
2021-03-27;2021;3;27;16;NA;NA;NA;"56";NA;NA;NA
2021-03-28;2021;3;28;16;NA;NA;NA;"51";NA;NA;NA
